Company,Position,Salary
BiomX Inc.,"Medical Coder
1 Salaries submitted",68
"Pieris Pharmaceuticals, Inc.","Corporate Counsel
3 Salaries submitted",366
"Pieris Pharmaceuticals, Inc.","Office Manager
1 Salaries submitted",96
"Pieris Pharmaceuticals, Inc.","Medical Science Liaison (MSL)
1 Salaries submitted",313
"Pieris Pharmaceuticals, Inc.","Chief Medical Officer
1 Salaries submitted",558
"Pieris Pharmaceuticals, Inc.","Clinical Research Coordinator
1 Salaries submitted",87
"Pieris Pharmaceuticals, Inc.","Senior Manager
1 Salaries submitted",242
"Pieris Pharmaceuticals, Inc.","Quality Assurance
1 Salaries submitted",78
"Protalix BioTherapeutics, Inc. ","Clinical Development Manager
2 Salaries submitted",238
"PMV Pharmaceuticals, Inc.","Clinical Trial Manager
1 Salaries submitted",169
"PMV Pharmaceuticals, Inc.","Senior Research Scientist
1 Salaries submitted",188
"PMV Pharmaceuticals, Inc.","Vice President
1 Salaries submitted",546
ProQR Therapeutics N.V.,"Vice President Head of Business Development
2 Salaries submitted",516
ProQR Therapeutics N.V.,"Sr. Clinical Research Associate
1 Salaries submitted",145
Prothena Corporation plc,"Research Associate
3 Salaries submitted",99
Prothena Corporation plc,"Scientist
2 Salaries submitted",136
Prothena Corporation plc,"Senior Research Associate
2 Salaries submitted",112
Prothena Corporation plc,"Clinical Operations Manager
1 Salaries submitted",148
Prothena Corporation plc,"Director
1 Salaries submitted",202
Prothena Corporation plc,"Administrative Assistant
1 Salaries submitted",52
Prothena Corporation plc,"QA Technician II
1 Salaries submitted",57
Prothena Corporation plc,"Director Medical Affairs
1 Salaries submitted",386
Prothena Corporation plc,"Research Scientist
1 Salaries submitted",153
Prothena Corporation plc,"Facilities Maintenance Technician
1 Salaries submitted",62
Prothena Corporation plc,"Executive Administrator
1 Salaries submitted",86
Prothena Corporation plc,"Research Associate II
1 Salaries submitted",90
Prothena Corporation plc,"Senior Director Marketing
1 Salaries submitted",301
Prothena Corporation plc,"Business Insights Manager
1 Salaries submitted",140
Prothena Corporation plc,"Senior Clinical Trial Associate
1 Salaries submitted",113
Prothena Corporation plc,"Scientist III
1 Salaries submitted",124
Prothena Corporation plc,"Clinical Trials Management Associate
1 Salaries submitted",85
"PLUS THERAPEUTICS, Inc.","Vice President
1 Salaries submitted",466
"Poseida Therapeutics, Inc.","Scientist II
11 Salaries submitted",158
"Poseida Therapeutics, Inc.","Senior Research Associate
11 Salaries submitted",140
"Poseida Therapeutics, Inc.","Research Associate II
9 Salaries submitted",100
"Poseida Therapeutics, Inc.","Research Associate
7 Salaries submitted",100
"Poseida Therapeutics, Inc.","Senior Scientist
6 Salaries submitted",200
"Poseida Therapeutics, Inc.","Research Scientist
5 Salaries submitted",187
"Poseida Therapeutics, Inc.","Scientist
5 Salaries submitted",182
"Poseida Therapeutics, Inc.","Senior Research Scientist
3 Salaries submitted",206
"Poseida Therapeutics, Inc.","Manufacturing Associate
3 Salaries submitted",72
"Poseida Therapeutics, Inc.","Research Scientist II
3 Salaries submitted",169
"Poseida Therapeutics, Inc.","Associate Scientist
2 Salaries submitted",122
"Poseida Therapeutics, Inc.","Senior Manufacturing Associate
2 Salaries submitted",140
"Poseida Therapeutics, Inc.","Research Associate 2
2 Salaries submitted",107
"Poseida Therapeutics, Inc.","Senior Process Development Associate
2 Salaries submitted",141
"Poseida Therapeutics, Inc.","Specialist, Flow Cytometry Core
2 Salaries submitted",161
"Poseida Therapeutics, Inc.","Process Engineer
1 Salaries submitted",142
"Poseida Therapeutics, Inc.","Quality Assurance Specialist
1 Salaries submitted",90
"Poseida Therapeutics, Inc.","Lab Manager
1 Salaries submitted",133
"Poseida Therapeutics, Inc.","Director Talent Acquisition
1 Salaries submitted",407
"Poseida Therapeutics, Inc.","Manufacturing Associate II
1 Salaries submitted",79
"PTC Therapeutics, Inc.","Associate Director
17 Salaries submitted",277
"PTC Therapeutics, Inc.","Director
15 Salaries submitted",344
"PTC Therapeutics, Inc.","Senior Manager
15 Salaries submitted",249
"PTC Therapeutics, Inc.","Associate Scientist II
14 Salaries submitted",111
"PTC Therapeutics, Inc.","Associate Scientist I
12 Salaries submitted",97
"PTC Therapeutics, Inc.","Scientist II
12 Salaries submitted",149
"PTC Therapeutics, Inc.","Research Associate II
11 Salaries submitted",103
"PTC Therapeutics, Inc.","Scientist
10 Salaries submitted",175
"PTC Therapeutics, Inc.","Research Associate
9 Salaries submitted",103
"PTC Therapeutics, Inc.","Associate Scientist
8 Salaries submitted",113
"PTC Therapeutics, Inc.","Intern
6 Salaries submitted",93
"PTC Therapeutics, Inc.","Principal Scientist
6 Salaries submitted",231
"PTC Therapeutics, Inc.","Scientist I
5 Salaries submitted",124
"PTC Therapeutics, Inc.","Research Scientist
5 Salaries submitted",182
"PTC Therapeutics, Inc.","Research Fellow
4 Salaries submitted",120
"PTC Therapeutics, Inc.","Scientist I, Chemistry
4 Salaries submitted",145
"PTC Therapeutics, Inc.","Senior Scientist
4 Salaries submitted",195
"PTC Therapeutics, Inc.","Sr. Scientist
3 Salaries submitted",209
"PTC Therapeutics, Inc.","Associate Scientist I, Biology
3 Salaries submitted",124
"PTC Therapeutics, Inc.","Manager
2 Salaries submitted",223
"Protagonist Therapeutics, Inc.","Senior Scientist
2 Salaries submitted",196
"Protagonist Therapeutics, Inc.","Senior Research Associate
1 Salaries submitted",130
"Protagonist Therapeutics, Inc.","Staff Scientist
1 Salaries submitted",177
"Protagonist Therapeutics, Inc.","Regulatory Affairs
1 Salaries submitted",195
"Protagonist Therapeutics, Inc.","Data Management
1 Salaries submitted",225
"Protagonist Therapeutics, Inc.","Research Associate II
1 Salaries submitted",93
"Protagonist Therapeutics, Inc.","Senior Administrative Assistant
1 Salaries submitted",97
uniQure N.V.,"Engineer
4 Salaries submitted",128
uniQure N.V.,"QC Analyst II
3 Salaries submitted",85
uniQure N.V.,"Quality Control
3 Salaries submitted",53
uniQure N.V.,"Downstream Process Development Engineer
3 Salaries submitted",105
uniQure N.V.,"QC Analyst
2 Salaries submitted",81
uniQure N.V.,"Associate Scientist I
2 Salaries submitted",79
uniQure N.V.,"QA Manager
2 Salaries submitted",174
uniQure N.V.,"Scientist
2 Salaries submitted",145
uniQure N.V.,"Supervisor
2 Salaries submitted",80
uniQure N.V.,"Quality Control Technical
1 Salaries submitted",74
uniQure N.V.,"Team Lead
1 Salaries submitted",86
uniQure N.V.,"Director, Quality Control
1 Salaries submitted",245
uniQure N.V.,"QC Microbiology Technician
1 Salaries submitted",55
uniQure N.V.,"Validation Engineer Co-op
1 Salaries submitted",139
uniQure N.V.,"Buyer/Planner
1 Salaries submitted",103
uniQure N.V.,"Senior Manager
1 Salaries submitted",233
uniQure N.V.,"Project Coordinator
1 Salaries submitted",74
uniQure N.V.,"Manufacturing Lead
1 Salaries submitted",73
uniQure N.V.,"Associate
1 Salaries submitted",99
uniQure N.V.,"Facilities Technician
1 Salaries submitted",64
"RAPT Therapeutics, Inc.","Scientist
9 Salaries submitted",181
"RAPT Therapeutics, Inc.","Research Associate II
7 Salaries submitted",108
"RAPT Therapeutics, Inc.","Research Associate
7 Salaries submitted",98
"RAPT Therapeutics, Inc.","Senior Research Associate
5 Salaries submitted",121
"RAPT Therapeutics, Inc.","Senior Scientist
3 Salaries submitted",198
"RAPT Therapeutics, Inc.","Scientist I
2 Salaries submitted",127
"RAPT Therapeutics, Inc.","Scientist II
2 Salaries submitted",151
"RAPT Therapeutics, Inc.","Director
1 Salaries submitted",337
"RAPT Therapeutics, Inc.","Research Associate Process Chemistry
1 Salaries submitted",97
"RAPT Therapeutics, Inc.","Associate Scientist
1 Salaries submitted",116
"RAPT Therapeutics, Inc.","Computational Scientist
1 Salaries submitted",190
"RAPT Therapeutics, Inc.","Research Asscociate
1 Salaries submitted",102
"RAPT Therapeutics, Inc.","Associate
1 Salaries submitted",131
"RAPT Therapeutics, Inc.","CSO/CISO
1 Salaries submitted",459
"RAPT Therapeutics, Inc.","Research Scientist
1 Salaries submitted",189
"RAPT Therapeutics, Inc.","Manager
1 Salaries submitted",210
"RAPT Therapeutics, Inc.","Scientist 1
1 Salaries submitted",113
Ultragenyx Pharmaceutical Inc.,"Director
22 Salaries submitted",373
Ultragenyx Pharmaceutical Inc.,"Associate Director
21 Salaries submitted",285
Ultragenyx Pharmaceutical Inc.,"Research Associate
17 Salaries submitted",119
Ultragenyx Pharmaceutical Inc.,"Senior Research Associate
16 Salaries submitted",138
Ultragenyx Pharmaceutical Inc.,"Intern
10 Salaries submitted",94
Ultragenyx Pharmaceutical Inc.,"Scientist
8 Salaries submitted",184
Ultragenyx Pharmaceutical Inc.,"Scientist I
8 Salaries submitted",156
Ultragenyx Pharmaceutical Inc.,"Manager
6 Salaries submitted",230
Ultragenyx Pharmaceutical Inc.,"Senior Scientist
6 Salaries submitted",203
Ultragenyx Pharmaceutical Inc.,"Scientist II
6 Salaries submitted",170
Ultragenyx Pharmaceutical Inc.,"Intern - Hourly
6 Salaries submitted",82
Ultragenyx Pharmaceutical Inc.,"Research Associate II
6 Salaries submitted",100
Ultragenyx Pharmaceutical Inc.,"Vice President
5 Salaries submitted",641
Ultragenyx Pharmaceutical Inc.,"Clinical Trial Manager
5 Salaries submitted",172
Ultragenyx Pharmaceutical Inc.,"Sr. Director
5 Salaries submitted",488
Ultragenyx Pharmaceutical Inc.,"Executive Director
5 Salaries submitted",389
Ultragenyx Pharmaceutical Inc.,"Research Scientist
5 Salaries submitted",185
Ultragenyx Pharmaceutical Inc.,"Administrative Assistant
4 Salaries submitted",64
Ultragenyx Pharmaceutical Inc.,"Clinical Trial Specialist
4 Salaries submitted",122
Ultragenyx Pharmaceutical Inc.,"Senior Clinical Trial Specialist
4 Salaries submitted",149
"Avita Medical, Inc.","Registered Nurse, BSN
1 Salaries submitted",130
"Avita Medical, Inc.","Administrator Assistant
1 Salaries submitted",54
"Avita Medical, Inc.","Clinical Research Associate
1 Salaries submitted",104
"Avita Medical, Inc.","Sr Marketing Manager
1 Salaries submitted",200
"Avita Medical, Inc.","Paralegal
1 Salaries submitted",86
"Avita Medical, Inc.","Clinical Training Specialist
1 Salaries submitted",105
"Avita Medical, Inc.","Commercial
1 Salaries submitted",157
"Avita Medical, Inc.","Finance
1 Salaries submitted",199
"Avita Medical, Inc.","Regenerative tissue Specialist
1 Salaries submitted",154
"Avita Medical, Inc.","Principal Scientist
1 Salaries submitted",188
"Avita Medical, Inc.","Administrative Assistant
1 Salaries submitted",52
"Avita Medical, Inc.","Accounting Supervisor
1 Salaries submitted",108
"Rocket Pharmaceuticals, Inc.","Senior Scientist
4 Salaries submitted",199
"Rocket Pharmaceuticals, Inc.","Associate Director
3 Salaries submitted",264
"Rocket Pharmaceuticals, Inc.","Clinical Manufacturing Associate
3 Salaries submitted",115
"Rocket Pharmaceuticals, Inc.","Associate Scientist
3 Salaries submitted",112
"Rocket Pharmaceuticals, Inc.","Director
3 Salaries submitted",379
"Rocket Pharmaceuticals, Inc.","Scientist
3 Salaries submitted",180
"Rocket Pharmaceuticals, Inc.","Manufacturing Associate
3 Salaries submitted",62
"Rocket Pharmaceuticals, Inc.","Corporate Paralegal
2 Salaries submitted",141
"Rocket Pharmaceuticals, Inc.","Business Development Coordinator
1 Salaries submitted",120
"Rocket Pharmaceuticals, Inc.","Senior Engineer
1 Salaries submitted",191
"Rocket Pharmaceuticals, Inc.","Associate
1 Salaries submitted",123
"Rocket Pharmaceuticals, Inc.","Sr. Engineer
1 Salaries submitted",190
"Rocket Pharmaceuticals, Inc.","Associate Principal Scientist
1 Salaries submitted",250
"Rocket Pharmaceuticals, Inc.","Leader
1 Salaries submitted",234
"Rocket Pharmaceuticals, Inc.","Manager
1 Salaries submitted",217
"Rocket Pharmaceuticals, Inc.","Senior Medical Director
1 Salaries submitted",493
"Rocket Pharmaceuticals, Inc.","Research
1 Salaries submitted",164
"Rocket Pharmaceuticals, Inc.","Director, Supply Chain Management
1 Salaries submitted",310
"Rocket Pharmaceuticals, Inc.","Validation Engineer II
1 Salaries submitted",134
"Rocket Pharmaceuticals, Inc.","Manufacturing Technician II
1 Salaries submitted",69
"Arcus Biosciences, Inc.","Scientist
23 Salaries submitted",128
"Arcus Biosciences, Inc.","Research Associate
12 Salaries submitted",89
"Arcus Biosciences, Inc.","Senior Scientist
11 Salaries submitted",158
"Arcus Biosciences, Inc.","Senior Research Associate
7 Salaries submitted",109
"Arcus Biosciences, Inc.","Associate Scientist
5 Salaries submitted",87
"Arcus Biosciences, Inc.","Director
4 Salaries submitted",307
"Arcus Biosciences, Inc.","Intern
3 Salaries submitted",76
"Arcus Biosciences, Inc.","Executive Director
3 Salaries submitted",411
"Arcus Biosciences, Inc.","Research Associate II
3 Salaries submitted",85
"Arcus Biosciences, Inc.","Bioinformatics Scientist
2 Salaries submitted",139
"Arcus Biosciences, Inc.","Manager, Clinical Data Management
2 Salaries submitted",149
"Arcus Biosciences, Inc.","Sr. Scientist
2 Salaries submitted",165
"Arcus Biosciences, Inc.","Clinical Trial Manager
2 Salaries submitted",144
"Arcus Biosciences, Inc.","Senior Engineer
2 Salaries submitted",165
"Arcus Biosciences, Inc.","Research Associate I
2 Salaries submitted",69
"Arcus Biosciences, Inc.","Associate Director
2 Salaries submitted",250
"Arcus Biosciences, Inc.","Principal Investigator
2 Salaries submitted",178
"Arcus Biosciences, Inc.","Study Manager
2 Salaries submitted",140
"Arcus Biosciences, Inc.","Corporate Communications Manager
1 Salaries submitted",176
"Arcus Biosciences, Inc.","Head of Bioinformatics
1 Salaries submitted",193
"Schnitzer Steel Industries, Inc","Equipment Operator
13 Salaries submitted",62
"Schnitzer Steel Industries, Inc","Truck Driver
11 Salaries submitted",68
"Schnitzer Steel Industries, Inc","Customer Service Representative
10 Salaries submitted",47
"Schnitzer Steel Industries, Inc","Senior Accountant
9 Salaries submitted",109
"Schnitzer Steel Industries, Inc","Production Supervisor
9 Salaries submitted",84
"Schnitzer Steel Industries, Inc","Buyer
8 Salaries submitted",86
"Schnitzer Steel Industries, Inc","Manager
8 Salaries submitted",171
"Schnitzer Steel Industries, Inc","Production Crew
7 Salaries submitted",44
"Schnitzer Steel Industries, Inc","Sales Manager
6 Salaries submitted",191
"Schnitzer Steel Industries, Inc","Forklift Operator
6 Salaries submitted",46
"Schnitzer Steel Industries, Inc","Store Manager
6 Salaries submitted",109
"Schnitzer Steel Industries, Inc","Operations Manager
5 Salaries submitted",130
"Schnitzer Steel Industries, Inc","Laborer
5 Salaries submitted",45
"Schnitzer Steel Industries, Inc","Class A Truck Driver
5 Salaries submitted",72
"Schnitzer Steel Industries, Inc","Operations Supervisor
5 Salaries submitted",88
"Schnitzer Steel Industries, Inc","Administrative Assistant
5 Salaries submitted",52
"Schnitzer Steel Industries, Inc","Crew Member
5 Salaries submitted",42
"Schnitzer Steel Industries, Inc","Regional Environmental Manager
4 Salaries submitted",138
"Schnitzer Steel Industries, Inc","General Manager
4 Salaries submitted",224
"Schnitzer Steel Industries, Inc","Vehicle Purchasing Agent
4 Salaries submitted",58
"Regeneron Pharmaceuticals, Inc.","Research Associate
192 Salaries submitted",94
"Regeneron Pharmaceuticals, Inc.","Biotech Production Specialist
176 Salaries submitted",95
"Regeneron Pharmaceuticals, Inc.","Scientist
158 Salaries submitted",159
"Regeneron Pharmaceuticals, Inc.","Intern
143 Salaries submitted",91
"Regeneron Pharmaceuticals, Inc.","Intern - Hourly
80 Salaries submitted",111
"Regeneron Pharmaceuticals, Inc.","Director
61 Salaries submitted",313
"Regeneron Pharmaceuticals, Inc.","Associate Director
61 Salaries submitted",258
"Regeneron Pharmaceuticals, Inc.","Staff Scientist
57 Salaries submitted",167
"Regeneron Pharmaceuticals, Inc.","Research Associate III
52 Salaries submitted",106
"Regeneron Pharmaceuticals, Inc.","Research Associate II
48 Salaries submitted",97
"Regeneron Pharmaceuticals, Inc.","Manager
47 Salaries submitted",186
"Regeneron Pharmaceuticals, Inc.","Senior Manager
46 Salaries submitted",225
"Regeneron Pharmaceuticals, Inc.","R&D Associate
41 Salaries submitted",105
"Regeneron Pharmaceuticals, Inc.","Associate Manager
40 Salaries submitted",157
"Regeneron Pharmaceuticals, Inc.","R&D Specialist
39 Salaries submitted",132
"Regeneron Pharmaceuticals, Inc.","Associate Scientist
35 Salaries submitted",103
"Regeneron Pharmaceuticals, Inc.","Associate Biotech Production Specialist
35 Salaries submitted",87
"Regeneron Pharmaceuticals, Inc.","Postdoctoral Fellow
34 Salaries submitted",91
"Regeneron Pharmaceuticals, Inc.","QC Analyst
33 Salaries submitted",95
"Regeneron Pharmaceuticals, Inc.","Biotech Production Specialist II
31 Salaries submitted",93
"Replimune Group, Inc.","Sr. Associate
2 Salaries submitted",68
"Replimune Group, Inc.","Senior Scientist
2 Salaries submitted",150
"Replimune Group, Inc.","Associate Director
2 Salaries submitted",174
"Replimune Group, Inc.","Senior Quality Systems Specialist
2 Salaries submitted",94
"Replimune Group, Inc.","Scientist Analytical Development
2 Salaries submitted",115
"Replimune Group, Inc.","QC Analyst
2 Salaries submitted",74
"Replimune Group, Inc.","Associate Director, Translational Research
1 Salaries submitted",100
"Replimune Group, Inc.","Senior Clinical Scientist - Oncology
1 Salaries submitted",146
"Replimune Group, Inc.","Lead Clinical Data Manager
1 Salaries submitted",100
"Replimune Group, Inc.","Programming Manager
1 Salaries submitted",146
"Replimune Group, Inc.","Research
1 Salaries submitted",119
"Replimune Group, Inc.","Regulatory Affairs Associate
1 Salaries submitted",79
"Replimune Group, Inc.","Senior Manager, Process Development
1 Salaries submitted",138
"Replimune Group, Inc.","Quality Control Analyst
1 Salaries submitted",71
"Replimune Group, Inc.","Senior Clinical Scientist
1 Salaries submitted",135
"Replimune Group, Inc.","Senior Manufacturing Associate
1 Salaries submitted",78
"Replimune Group, Inc.","Principal Associate, Quality Systems
1 Salaries submitted",165
"Replimune Group, Inc.","Director of Regulatory Affairs
1 Salaries submitted",185
"Replimune Group, Inc.","Meetings & Congress Manager
1 Salaries submitted",114
"Replimune Group, Inc.","Supply Chain Planner
1 Salaries submitted",78
Regulus Therapeutics Inc.,"Research Associate
8 Salaries submitted",98
Regulus Therapeutics Inc.,"Senior Scientist
3 Salaries submitted",188
Regulus Therapeutics Inc.,"Scientist
3 Salaries submitted",159
Regulus Therapeutics Inc.,"Intern
2 Salaries submitted",90
Regulus Therapeutics Inc.,"Research Scientist
2 Salaries submitted",164
Regulus Therapeutics Inc.,"Logistics Coordinator
1 Salaries submitted",73
Regulus Therapeutics Inc.,"Director
1 Salaries submitted",315
Regulus Therapeutics Inc.,"Research Associate-pharmacology
1 Salaries submitted",166
Regulus Therapeutics Inc.,"Validation Engineer
1 Salaries submitted",119
Regulus Therapeutics Inc.,"Post Doctoral Fellow, Bioinformatics
1 Salaries submitted",162
Regulus Therapeutics Inc.,"Researcher
1 Salaries submitted",108
Regulus Therapeutics Inc.,"Purchasing Manager
1 Salaries submitted",167
Regulus Therapeutics Inc.,"Biology RD
1 Salaries submitted",87
Regulus Therapeutics Inc.,"Administrative Assistant
1 Salaries submitted",58
Regulus Therapeutics Inc.,"Bioinformatics Scientist
1 Salaries submitted",172
Regulus Therapeutics Inc.,"Senior Research Associate
1 Salaries submitted",123
Regulus Therapeutics Inc.,"R&D Laboratory Technician
1 Salaries submitted",76
REGENXBIO Inc.,"Scientist
5 Salaries submitted",123
REGENXBIO Inc.,"Senior Manager
5 Salaries submitted",195
REGENXBIO Inc.,"Senior Scientist
5 Salaries submitted",145
REGENXBIO Inc.,"Associate Scientist II
3 Salaries submitted",86
REGENXBIO Inc.,"Scientist II
3 Salaries submitted",114
REGENXBIO Inc.,"Senior Program Manager
2 Salaries submitted",189
REGENXBIO Inc.,"Business Analyst
2 Salaries submitted",97
REGENXBIO Inc.,"Clinical Project Manager
2 Salaries submitted",153
REGENXBIO Inc.,"Associate Scientist III
2 Salaries submitted",93
REGENXBIO Inc.,"Accounting Manager
1 Salaries submitted",135
REGENXBIO Inc.,"Associate Scientist I
1 Salaries submitted",72
REGENXBIO Inc.,"Clinical Trial Associate
1 Salaries submitted",77
REGENXBIO Inc.,"Vice President
1 Salaries submitted",424
REGENXBIO Inc.,"Associate Director, Regulatory Affairs
1 Salaries submitted",183
REGENXBIO Inc.,"Team Lead Process Development
1 Salaries submitted",130
REGENXBIO Inc.,"Associate Clinical Project Manager
1 Salaries submitted",142
REGENXBIO Inc.,"Senior Manager, Clinical Supplies
1 Salaries submitted",169
REGENXBIO Inc.,"Intern - Hourly
1 Salaries submitted",56
REGENXBIO Inc.,"Scientist I
1 Salaries submitted",95
REGENXBIO Inc.,"Intern Engineer
1 Salaries submitted",85
"Rigel Pharmaceuticals, Inc.","Senior Research Associate
5 Salaries submitted",112
"Rigel Pharmaceuticals, Inc.","Senior Scientist
3 Salaries submitted",182
"Rigel Pharmaceuticals, Inc.","Associate Scientist
3 Salaries submitted",92
"Rigel Pharmaceuticals, Inc.","Scientist
3 Salaries submitted",135
"Rigel Pharmaceuticals, Inc.","Project Manager [Marketing/Business Development]
2 Salaries submitted",232
"Rigel Pharmaceuticals, Inc.","Research Associate II
2 Salaries submitted",90
"Rigel Pharmaceuticals, Inc.","Senior Associate Scientist
2 Salaries submitted",122
"Rigel Pharmaceuticals, Inc.","Scientist I
1 Salaries submitted",109
"Rigel Pharmaceuticals, Inc.","Senior Project Manager Marketing and Business Devel
1 Salaries submitted",233
"Rigel Pharmaceuticals, Inc.","Associate Director
1 Salaries submitted",259
"Rigel Pharmaceuticals, Inc.","Manager
1 Salaries submitted",177
"Rigel Pharmaceuticals, Inc.","Staff Scientist
1 Salaries submitted",152
"Rigel Pharmaceuticals, Inc.","Consultant
1 Salaries submitted",164
"Rigel Pharmaceuticals, Inc.","TMF Manager
1 Salaries submitted",172
"Rigel Pharmaceuticals, Inc.","Research Scientist
1 Salaries submitted",139
"Rigel Pharmaceuticals, Inc.","Recruiter
1 Salaries submitted",171
"Rigel Pharmaceuticals, Inc.","VP Clinical Development
1 Salaries submitted",369
"Rigel Pharmaceuticals, Inc.","Data Analyst
1 Salaries submitted",97
"Rigel Pharmaceuticals, Inc.","IP Specialist
1 Salaries submitted",106
"Rigel Pharmaceuticals, Inc.","Administrative Coordinator
1 Salaries submitted",67
"Relay Therapeutics, Inc.","Director
10 Salaries submitted",349
"Relay Therapeutics, Inc.","Scientist
8 Salaries submitted",181
"Relay Therapeutics, Inc.","Scientist II
5 Salaries submitted",155
"Relay Therapeutics, Inc.","Senior Scientist I
3 Salaries submitted",178
"Relay Therapeutics, Inc.","Principal Scientist
3 Salaries submitted",239
"Relay Therapeutics, Inc.","Senior Research Associate II
2 Salaries submitted",133
"Relay Therapeutics, Inc.","Recruiter
2 Salaries submitted",217
"Relay Therapeutics, Inc.","Senior Scientist
2 Salaries submitted",198
"Relay Therapeutics, Inc.","Sr Procurement Specialist
2 Salaries submitted",135
"Relay Therapeutics, Inc.","Research Scientist
2 Salaries submitted",183
"Relay Therapeutics, Inc.","Scientist I
2 Salaries submitted",137
"Relay Therapeutics, Inc.","Finance
2 Salaries submitted",246
"Relay Therapeutics, Inc.","Sr Financial Analyst
1 Salaries submitted",161
"Relay Therapeutics, Inc.","Associate Chemist II
1 Salaries submitted",104
"Relay Therapeutics, Inc.","People Experience Manager
1 Salaries submitted",228
"Relay Therapeutics, Inc.","Jessica Cosman Fellow
1 Salaries submitted",148
"Relay Therapeutics, Inc.","Director, Research and Development
1 Salaries submitted",264
"Relay Therapeutics, Inc.","Senior Research Associate
1 Salaries submitted",129
"Relay Therapeutics, Inc.","Computational Chemist
1 Salaries submitted",152
"Relay Therapeutics, Inc.","IT Director
1 Salaries submitted",296
"Avidity Biosciences, Inc.","Senior Research Associate
6 Salaries submitted",102
"Avidity Biosciences, Inc.","Research Associate
4 Salaries submitted",85
"Avidity Biosciences, Inc.","Scientist
2 Salaries submitted",131
"Avidity Biosciences, Inc.","HR Intern
2 Salaries submitted",64
"Avidity Biosciences, Inc.","Vice President, Medical Affairs
1 Salaries submitted",493
"Avidity Biosciences, Inc.","Assistant Director
1 Salaries submitted",123
"Avidity Biosciences, Inc.","Scientist I
1 Salaries submitted",100
"Avidity Biosciences, Inc.","Sr. Director
1 Salaries submitted",283
"Avidity Biosciences, Inc.","Reasearch Associate
1 Salaries submitted",80
"Avidity Biosciences, Inc.","Associate
1 Salaries submitted",103
"Avidity Biosciences, Inc.","Associate Scientist
1 Salaries submitted",90
Repare Therapeutics Inc.,"Bioinformatics
2 Salaries submitted",164
Repare Therapeutics Inc.,"Research Assistant
1 Salaries submitted",61
Repare Therapeutics Inc.,"Translational Scientist
1 Salaries submitted",137
Repare Therapeutics Inc.,"Principal Scientist
1 Salaries submitted",201
Repare Therapeutics Inc.,"Bioinformatics Co-op
1 Salaries submitted",145
"Rubius Therapeutics, Inc.","Research Associate
16 Salaries submitted",88
"Rubius Therapeutics, Inc.","Senior Research Associate
13 Salaries submitted",121
"Rubius Therapeutics, Inc.","Associate Scientist
13 Salaries submitted",92
"Rubius Therapeutics, Inc.","Scientist
9 Salaries submitted",158
"Rubius Therapeutics, Inc.","Director
6 Salaries submitted",307
"Rubius Therapeutics, Inc.","Associate Engineer
6 Salaries submitted",107
"Rubius Therapeutics, Inc.","Associate Director
5 Salaries submitted",251
"Rubius Therapeutics, Inc.","Senior Scientist
4 Salaries submitted",185
"Rubius Therapeutics, Inc.","Engineer
4 Salaries submitted",146
"Rubius Therapeutics, Inc.","Sr. Research Associate
2 Salaries submitted",124
"Rubius Therapeutics, Inc.","Manufacturing Technician
2 Salaries submitted",64
"Rubius Therapeutics, Inc.","Validation Engineer
2 Salaries submitted",115
"Rubius Therapeutics, Inc.","Associate
2 Salaries submitted",135
"Rubius Therapeutics, Inc.","HR Coodinator
1 Salaries submitted",55
"Rubius Therapeutics, Inc.","Manager Human Resources
1 Salaries submitted",316
"Rubius Therapeutics, Inc.","Procurement Manager
1 Salaries submitted",190
"Rubius Therapeutics, Inc.","Lab Operations Manager
1 Salaries submitted",165
"Rubius Therapeutics, Inc.","Quality Manager
1 Salaries submitted",168
"Rubius Therapeutics, Inc.","Sr Director External Manufacturing
1 Salaries submitted",320
"Rubius Therapeutics, Inc.","Senior Analyst
1 Salaries submitted",133
"Revolution Medicines, Inc.","Research Associate
13 Salaries submitted",80
"Revolution Medicines, Inc.","Scientist II
5 Salaries submitted",118
"Revolution Medicines, Inc.","Senior Scientist I
5 Salaries submitted",154
"Revolution Medicines, Inc.","Senior Research Associate
4 Salaries submitted",104
"Revolution Medicines, Inc.","Scientist I
3 Salaries submitted",113
"Revolution Medicines, Inc.","Associate Scientist
3 Salaries submitted",88
"Revolution Medicines, Inc.","Research Associate II
3 Salaries submitted",85
"Revolution Medicines, Inc.","Associate Director
2 Salaries submitted",237
"Revolution Medicines, Inc.","Associate Director, Clinical Data Management
2 Salaries submitted",150
"Revolution Medicines, Inc.","Scientist
2 Salaries submitted",135
"Revolution Medicines, Inc.","Engineer
1 Salaries submitted",128
"Revolution Medicines, Inc.","Senior Applications Administrator
1 Salaries submitted",129
"Revolution Medicines, Inc.","Project Manager
1 Salaries submitted",136
"Revolution Medicines, Inc.","Research Scientist
1 Salaries submitted",138
"Revolution Medicines, Inc.","Vice President Medicinal Chemistry
1 Salaries submitted",346
"Revolution Medicines, Inc.","Cancer Cell & Systems Biology Co-Op
1 Salaries submitted",104
"Revolution Medicines, Inc.","Senior Manager, Sec Reporting
1 Salaries submitted",210
"Revolution Medicines, Inc.","Data Scientist
1 Salaries submitted",149
"Revolution Medicines, Inc.","Senior Helpdesk Administrator
1 Salaries submitted",96
"Revolution Medicines, Inc.","IT Helpdesk Manager
1 Salaries submitted",130
